"state","date","reported_cases","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95","mean_infectious_individuals","infectious_individuals_lower_CI_95","infectious_individuals_higher_CI_95"
"MA",2020-02-27,0,64.961515977609,16.4930807024742,179.479012023722,0,0.000609536762584637,0.000156074721001317,0.00169073061955835,3.41645803403502,2.20891315795498,4.62625983351519,167.114717085196,42.4287591503761,461.713121464299
"MA",2020-02-28,0,64.961515977609,16.4930807024742,179.479012023722,0,0.00177987141532612,0.000455744348195355,0.00493700017043791,3.44466704876728,2.2290353240609,4.66513026195937,232.076233062805,58.9218398528503,641.192133488021
"MA",2020-02-29,0,111.736088019372,36.1556242529136,266.690568789593,0,0.00401885097463256,0.00102904547045192,0.0111474726634059,3.47092874505803,2.24447802550252,4.69873378836649,292.235889768892,74.1957764005848,807.404322147789
"MA",2020-03-01,0,144.15627896165,50.8322010054642,321.781660586588,0,0.00793206333603255,0.00203133911182445,0.0220002206634507,3.78164008319228,2.46671973080682,5.0851837992975,352.222151222087,90.3359939296217,967.536494653679
"MA",2020-03-02,0,176.450692300054,64.9649379681546,386.15731466712,0,0.0139696809675796,0.00358315621485535,0.0387138070618054,3.78762645646287,2.50911875292806,5.05830948000292,428.028764501203,115.541979904072,1157.09446836221
"MA",2020-03-03,1,222.623292712064,86.4158888351286,472.291616795723,0,0.0225119608025958,0.00579837050169326,0.0622402418274486,3.84556220714945,2.54650197330891,5.1205326284103,527.957273549163,152.815611024054,1368.46944440269
"MA",2020-03-04,0,266.472947882176,109.899686667053,548.558136147289,0,0.03414150970749,0.00885678457347511,0.0938562122359757,3.67959678397635,2.40841653516593,4.9475491659681,656.85457421302,205.559646093068,1626.23575219497
"MA",2020-03-05,0,352.460483563624,152.732297657406,706.897292136015,0,0.0495140080485646,0.0130224977808492,0.134982479175626,3.86414193880439,2.5749413834335,5.12725143259669,819.358562724516,274.023506726399,1954.19066568483
"MA",2020-03-06,5,415.720477354109,188.453484994769,817.992149154225,0,0.0689712801543821,0.0185230237138072,0.186021033342449,3.634134256855,2.37381752684242,4.90000652917426,1022.69774120757,366.986763746447,2310.99453385253
"MA",2020-03-07,0,537.811903940082,251.501295317079,1042.32968535318,0,0.093579993340575,0.0257600642787389,0.248530743377313,3.73037317883912,2.45456276314191,4.99459478331603,1278.41016011857,483.956917798235,2777.20328907913
